"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"675","Belmonte","low_cost",1.399,1.25,1.3245,NA,NA,NA
"676","Belmonte de Miranda","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"677","Belorado","no_low_cost",1.409,1.398,1.4035,NA,NA,NA
"678","Belvís de la Jara","low_cost",1.24,1.24,1.24,NA,NA,NA
"679","Belvís de Monroy","low_cost",1.369,1.369,1.369,NA,NA,NA
"680","Bembibre","low_cost",1.479,1.479,1.479,NA,NA,NA
"681","Bembibre","no_low_cost",1.429,1.419,1.42233333333333,NA,NA,NA
"682","Benabarre","low_cost",1.33,1.33,1.33,NA,NA,NA
"683","Benabarre","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"684","Benacazón","low_cost",1.359,1.285,1.322,NA,NA,NA
"685","Benaguasil","low_cost",1.279,1.259,1.27233333333333,NA,NA,NA
"686","Benaguasil","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"687","Benahadux","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"688","Benalmádena","low_cost",1.409,1.299,1.34075,NA,NA,NA
"689","Benalmádena","no_low_cost",1.429,1.389,1.405,NA,NA,NA
"690","Benalúa","no_low_cost",1.3,1.3,1.3,NA,NA,NA
"691","Benalúa de las Villas","low_cost",1.216,1.216,1.216,NA,NA,NA
"692","Benalúa de las Villas","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"693","Benalup-Casas Viejas","low_cost",1.351,1.339,1.345,NA,NA,NA
"694","Benamargosa","low_cost",1.369,1.369,1.369,NA,NA,NA
"695","Benamaurel","no_low_cost",1.405,1.405,1.405,NA,NA,NA
"696","Benamejí","low_cost",1.339,1.26,1.2995,NA,NA,NA
"697","Benamejí","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"698","Benaoján","low_cost",1.359,1.359,1.359,NA,NA,NA
"699","Benasal","low_cost",1.399,1.399,1.399,NA,NA,NA
"700","Benasque","low_cost",1.369,1.369,1.369,NA,NA,NA
"701","Benavent de Segrià","low_cost",1.239,1.239,1.239,NA,NA,NA
"702","Benavente","low_cost",NA,NA,NA,NA,NA,NA
"703","Benavente","no_low_cost",1.419,1.379,1.398,NA,NA,NA
"704","Beneixama","low_cost",1.309,1.289,1.299,NA,NA,NA
"705","Beneixida","no_low_cost",1.253,1.253,1.253,NA,NA,NA
"706","Benejúzar","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"707","Benetússer","low_cost",1.328,1.328,1.328,NA,NA,NA
"708","Beniarjó","low_cost",1.289,1.289,1.289,NA,NA,NA
"709","Benicarló","low_cost",1.359,1.259,1.325,NA,NA,NA
"710","Benicarló","no_low_cost",1.449,1.379,1.407,NA,NA,NA
"711","Benicasim/Benicàssim","low_cost",1.389,1.379,1.384,NA,NA,NA
"712","Benidorm","low_cost",1.429,1.259,1.384,NA,NA,NA
"713","Benidorm","no_low_cost",1.429,1.369,1.3915,NA,NA,NA
"714","Beniel","low_cost",1.339,1.328,1.3335,NA,NA,NA
"715","Beniel","no_low_cost",1.419,1.409,1.414,NA,NA,NA
"716","Benifaió","low_cost",1.269,1.269,1.269,NA,NA,NA
"717","Benifaió","no_low_cost",1.379,1.299,1.34233333333333,NA,NA,NA
"718","Benifallet","low_cost",1.279,1.279,1.279,NA,NA,NA
"719","Benigánim","low_cost",NA,NA,NA,NA,NA,NA
"720","Benijófar","low_cost",1.319,1.319,1.319,NA,NA,NA
"721","Benilloba","low_cost",1.369,1.369,1.369,NA,NA,NA
"722","Benimodo","low_cost",1.299,1.299,1.299,NA,NA,NA
"723","Beniparrell","no_low_cost",1.389,1.379,1.384,NA,NA,NA
"724","Benisanó","low_cost",1.279,1.245,1.262,NA,NA,NA
"725","Benissa","low_cost",1.409,1.297,1.33985714285714,NA,NA,NA
"726","Benissa","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"727","Benissanet","low_cost",1.23,1.23,1.23,NA,NA,NA
"728","Benitachell/Poble Nou de Benitatxell (el)","low_cost",1.329,1.329,1.329,NA,NA,NA
"729","Benlloch","low_cost",1.32,1.32,1.32,NA,NA,NA
"730","Benlloch","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"731","Bera/Vera de Bidasoa","low_cost",1.409,1.329,1.3556,NA,NA,NA
"732","Bera/Vera de Bidasoa","no_low_cost",1.399,1.389,1.39566666666667,NA,NA,NA
"733","Berango","no_low_cost",1.429,1.429,1.429,1.599,1.599,1.599
"734","Berberana","low_cost",1.308,1.308,1.308,NA,NA,NA
"735","Berbinzana","low_cost",1.299,1.299,1.299,NA,NA,NA
"736","Berga","low_cost",1.399,1.281,1.367,NA,NA,NA
"737","Berga","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"738","Bergara","low_cost",1.429,1.369,1.399,NA,NA,NA
"739","Bergara","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"740","Bergondo","low_cost",1.249,1.239,1.244,NA,NA,NA
"741","Beriáin","low_cost",1.414,1.259,1.3365,NA,NA,NA
"742","Beriáin","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"743","Berja","low_cost",1.267,1.217,1.23466666666667,NA,NA,NA
"744","Berja","no_low_cost",1.369,1.359,1.364,NA,NA,NA
"745","Berlanga","low_cost",1.409,1.409,1.409,NA,NA,NA
"746","Berlanga de Duero","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"747","Bermeo","low_cost",1.419,1.419,1.419,NA,NA,NA
"748","Bermillo de Sayago","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"749","Berninches","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"750","Berrioplano","low_cost",1.309,1.249,1.2765,NA,NA,NA
"751","Berrioplano","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"752","Berriozar","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"753","Berriz","low_cost",1.277,1.277,1.277,NA,NA,NA
