"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"1296","Cervera de la Cañada","low_cost",NA,NA,NA,NA,NA,NA
"1297","Cervera de Pisuerga","low_cost",1.359,1.359,1.359,NA,NA,NA
"1298","Cervera del Llano","low_cost",1.28,1.28,1.28,NA,NA,NA
"1299","Cervera del Llano","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1300","Cervera del Río Alhama","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1301","Cervià de Ter","low_cost",1.257,1.257,1.257,NA,NA,NA
"1302","Cervo","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1303","Cetina","low_cost",1.369,1.369,1.369,NA,NA,NA
"1304","Cetina","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1305","Ceuta","low_cost",1.124,1.105,1.11857142857143,NA,NA,NA
"1306","Ceuta","no_low_cost",1.139,1.139,1.139,1.264,1.264,1.264
"1307","Ceutí","low_cost",1.29,1.289,1.2895,NA,NA,NA
"1308","Ceutí","no_low_cost",1.388,1.388,1.388,NA,NA,NA
"1309","Cevico de la Torre","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"1310","Chañe","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1311","Chantada","low_cost",1.439,1.439,1.439,NA,NA,NA
"1312","Chantada","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1313","Chauchina","no_low_cost",1.389,1.359,1.374,NA,NA,NA
"1314","Chella","low_cost",1.369,1.369,1.369,NA,NA,NA
"1315","Chelva","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"1316","Cheste","low_cost",1.27,1.27,1.27,NA,NA,NA
"1317","Chiclana de la Frontera","low_cost",1.359,1.299,1.319,NA,NA,NA
"1318","Chiclana de la Frontera","no_low_cost",1.437,1.349,1.36966666666667,NA,NA,NA
"1319","Chiclana de Segura","low_cost",1.349,1.349,1.349,NA,NA,NA
"1320","Chilches/Xilxes","no_low_cost",1.439,1.369,1.404,NA,NA,NA
"1321","Chillarón de Cuenca","no_low_cost",1.419,1.419,1.419,1.639,1.639,1.639
"1322","Chillón","low_cost",1.379,1.379,1.379,NA,NA,NA
"1323","Chilluévar","low_cost",1.228,1.228,1.228,NA,NA,NA
"1324","Chiloeches","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1325","Chinchilla de Monte-Aragón","no_low_cost",1.419,1.409,1.414,NA,NA,NA
"1326","Chinchón","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1327","Chipiona","low_cost",1.329,1.319,1.324,NA,NA,NA
"1328","Chipiona","no_low_cost",1.389,1.369,1.3815,NA,NA,NA
"1329","Chirivel","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1330","Chiva","low_cost",1.379,1.19,1.30266666666667,NA,NA,NA
"1331","Chiva","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1332","Chozas de Abajo","low_cost",1.3,1.3,1.3,NA,NA,NA
"1333","Chozas de Canales","low_cost",1.399,1.271,1.335,NA,NA,NA
"1334","Chucena","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"1335","Chulilla","low_cost",1.109,1.109,1.109,NA,NA,NA
"1336","Churriana de la Vega","low_cost",1.299,1.275,1.283,NA,NA,NA
"1337","Churriana de la Vega","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1338","Ciempozuelos","low_cost",1.419,1.277,1.348,NA,NA,NA
"1339","Ciempozuelos","no_low_cost",1.425,1.379,1.40433333333333,NA,NA,NA
"1340","Cieza","low_cost",1.269,1.249,1.259,NA,NA,NA
"1341","Cieza","no_low_cost",1.399,1.369,1.381,NA,NA,NA
"1342","Cifuentes","no_low_cost",1.399,1.399,1.399,1.574,1.574,1.574
"1343","Cigales","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"1344","Cijuela","low_cost",1.389,1.309,1.349,NA,NA,NA
"1345","Cilleros","low_cost",1.349,1.349,1.349,NA,NA,NA
"1346","Cilleruelo de Abajo","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1347","Cillorigo de Liébana","low_cost",1.289,1.289,1.289,NA,NA,NA
"1348","Cintruénigo","low_cost",1.369,1.299,1.334,NA,NA,NA
"1349","Cintruénigo","no_low_cost",1.399,1.399,1.399,1.589,1.589,1.589
"1350","Cistérniga","no_low_cost",1.389,1.389,1.389,1.574,1.574,1.574
"1351","Cistierna","low_cost",1.329,1.329,1.329,NA,NA,NA
"1352","Cistierna","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"1353","Ciudad Real","low_cost",NA,NA,NA,NA,NA,NA
"1354","Ciudad Real","no_low_cost",1.389,1.319,1.36718181818182,NA,NA,NA
"1355","Ciudad Rodrigo","low_cost",1.409,1.309,1.359,NA,NA,NA
"1356","Ciudad Rodrigo","no_low_cost",1.429,1.369,1.399,NA,NA,NA
"1357","Ciutadella de Menorca","low_cost",1.409,1.409,1.409,NA,NA,NA
"1358","Ciutadella de Menorca","no_low_cost",1.479,1.439,1.453,NA,NA,NA
"1359","Cizur","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"1360","Coaña","no_low_cost",1.399,1.389,1.39566666666667,NA,NA,NA
"1361","Cobeña","low_cost",1.359,1.359,1.359,NA,NA,NA
"1362","Cobeña","no_low_cost",1.419,1.379,1.399,NA,NA,NA
"1363","Cobisa","low_cost",1.309,1.309,1.309,NA,NA,NA
"1364","Cobreros","low_cost",1.389,1.389,1.389,NA,NA,NA
"1365","Coca","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"1366","Cocentaina","low_cost",1.359,1.299,1.329,NA,NA,NA
"1367","Cocentaina","no_low_cost",1.389,1.319,1.363,NA,NA,NA
"1368","Codoñera (La)","low_cost",1.215,1.215,1.215,NA,NA,NA
"1369","Codosera (La)","low_cost",1.339,1.339,1.339,NA,NA,NA
"1370","Codosera (La)","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1371","Cogeces del Monte","low_cost",1.289,1.289,1.289,NA,NA,NA
"1372","Cogollos de la Vega","low_cost",1.225,1.225,1.225,NA,NA,NA
"1373","Coín","low_cost",1.367,1.329,1.34166666666667,NA,NA,NA
"1374","Coín","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1375","Coirós","low_cost",1.409,1.409,1.409,NA,NA,NA
"1376","Coirós","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1377","Coles","low_cost",1.355,1.355,1.355,NA,NA,NA
"1378","Coles","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"1379","Colilla (La)","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"1380","Colindres","low_cost",1.439,1.439,1.439,NA,NA,NA
"1381","Coll de Nargó","no_low_cost",1.398,1.398,1.398,NA,NA,NA
"1382","Collado Hermoso","no_low_cost",1.368,1.368,1.368,NA,NA,NA
"1383","Collado Mediano","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1384","Collado Villalba","low_cost",1.429,1.199,1.31185714285714,NA,NA,NA
"1385","Collado Villalba","no_low_cost",1.439,1.269,1.37471428571429,NA,NA,NA
"1386","Collbató","low_cost",1.309,1.269,1.289,NA,NA,NA
"1387","Colmenar","low_cost",1.309,1.309,1.309,NA,NA,NA
"1388","Colmenar","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1389","Colmenar de Oreja","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"1390","Colmenar del Arroyo","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1391","Colmenar Viejo","low_cost",1.379,1.349,1.364,NA,NA,NA
"1392","Colmenar Viejo","no_low_cost",1.449,1.379,1.409,NA,NA,NA
"1393","Colomera","low_cost",1.27,1.27,1.27,NA,NA,NA
"1394","Colunga","no_low_cost",1.409,1.399,1.40233333333333,NA,NA,NA
"1395","Comillas","low_cost",1.379,1.379,1.379,NA,NA,NA
"1396","Cómpeta","low_cost",NA,NA,NA,NA,NA,NA
"1397","Condado de Treviño","low_cost",1.395,1.31,1.3525,NA,NA,NA
"1398","Condemios de Arriba","low_cost",1.458,1.458,1.458,NA,NA,NA
"1399","Congosto","no_low_cost",1.429,1.429,1.429,1.599,1.599,1.599
"1400","Conil de la Frontera","low_cost",1.329,1.257,1.30133333333333,NA,NA,NA
"1401","Conil de la Frontera","no_low_cost",1.339,1.25,1.322,NA,NA,NA
"1402","Constantí","low_cost",1.389,1.189,1.289,NA,NA,NA
"1403","Constantí","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1404","Constantina","low_cost",1.369,1.369,1.369,NA,NA,NA
"1405","Constantina","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1406","Consuegra","low_cost",1.289,1.235,1.26733333333333,NA,NA,NA
"1407","Consuegra","no_low_cost",1.415,1.415,1.415,NA,NA,NA
"1408","Corbera","low_cost",1.334,1.334,1.334,NA,NA,NA
"1409","Corbera d'Ebre","low_cost",1.269,1.269,1.269,NA,NA,NA
"1410","Corbins","low_cost",NA,NA,NA,NA,NA,NA
"1411","Corçà","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1412","Córdoba","low_cost",1.419,1.159,1.33247368421053,NA,NA,NA
"1413","Córdoba","no_low_cost",1.419,1.349,1.39402777777778,NA,NA,NA
"1414","Cordobilla de Lácara","low_cost",1.375,1.375,1.375,NA,NA,NA
"1415","Corella","low_cost",1.339,1.339,1.339,NA,NA,NA
"1416","Corgo (O)","no_low_cost",1.439,1.425,1.42966666666667,NA,NA,NA
"1417","Coria","low_cost",1.369,1.258,1.33066666666667,NA,NA,NA
"1418","Coria","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"1419","Coria del Río","low_cost",1.379,1.319,1.3518,NA,NA,NA
"1420","Coripe","no_low_cost",1.37,1.37,1.37,NA,NA,NA
"1421","Coristanco","low_cost",1.399,1.325,1.362,NA,NA,NA
"1422","Coristanco","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1423","Cornellà de Llobregat","low_cost",NA,NA,NA,NA,NA,NA
"1424","Cornellà de Llobregat","no_low_cost",1.469,1.289,1.39414285714286,NA,NA,NA
"1425","Cornudella de Montsant","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1426","Coronil (El)","low_cost",1.329,1.265,1.297,NA,NA,NA
"1427","Corral de Almaguer","low_cost",1.205,1.205,1.205,NA,NA,NA
"1428","Corral de Almaguer","no_low_cost",1.475,1.419,1.44766666666667,NA,NA,NA
"1429","Corral de Calatrava","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"1430","Corrales","low_cost",1.319,1.259,1.289,NA,NA,NA
"1431","Corrales (Los)","low_cost",1.319,1.319,1.319,NA,NA,NA
"1432","Corrales de Buelna (Los)","low_cost",1.299,1.239,1.26566666666667,NA,NA,NA
"1433","Corrales de Buelna (Los)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1434","Cortegada","low_cost",1.429,1.429,1.429,NA,NA,NA
"1435","Cortegana","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1436","Cortes","low_cost",1.299,1.299,1.299,NA,NA,NA
"1437","Cortes de la Frontera","low_cost",1.369,1.369,1.369,NA,NA,NA
"1438","Cortes de Pallás","low_cost",1.047,1.047,1.047,NA,NA,NA
"1439","Cortijos (Los)","low_cost",1.399,1.399,1.399,NA,NA,NA
"1440","Coruña (A)","low_cost",NA,NA,NA,NA,NA,NA
"1441","Coruña (A)","no_low_cost",1.439,1.309,1.40261904761905,NA,NA,NA
"1442","Corvera de Asturias","low_cost",1.385,1.279,1.332,NA,NA,NA
"1443","Corvera de Asturias","no_low_cost",1.415,1.385,1.39966666666667,NA,NA,NA
"1444","Corvera de Toranzo","no_low_cost",1.409,1.399,1.404,NA,NA,NA
"1445","Coslada","low_cost",1.429,1.289,1.369,NA,NA,NA
"1446","Coslada","no_low_cost",1.449,1.399,1.41811111111111,NA,NA,NA
"1447","Cospeito","no_low_cost",1.429,1.409,1.419,NA,NA,NA
"1448","Cotobade","low_cost",1.399,1.399,1.399,NA,NA,NA
"1449","Covelo","low_cost",1.429,1.429,1.429,NA,NA,NA
"1450","Coves de Vinromà (les)","low_cost",NA,NA,NA,NA,NA,NA
"1451","Coves de Vinromà (les)","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1452","Cox","low_cost",1.399,1.369,1.384,NA,NA,NA
"1453","Cox","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1454","Cózar","low_cost",1.22,1.22,1.22,NA,NA,NA
"1455","Crespos","low_cost",1.359,1.359,1.359,NA,NA,NA
"1456","Crevillent","low_cost",NA,NA,NA,NA,NA,NA
"1457","Crevillent","no_low_cost",1.429,1.389,1.415,NA,NA,NA
"1458","Cuacos de Yuste","low_cost",1.369,1.369,1.369,NA,NA,NA
"1459","Cuacos de Yuste","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1460","Cualedro","low_cost",1.419,1.419,1.419,NA,NA,NA
"1461","Cualedro","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1462","Cuarte de Huerva","low_cost",1.339,1.318,1.32625,NA,NA,NA
"1463","Cuarte de Huerva","no_low_cost",1.375,1.375,1.375,NA,NA,NA
"1464","Cubel","low_cost",0.971,0.971,0.971,NA,NA,NA
"1465","Cubelles","low_cost",1.439,1.419,1.429,NA,NA,NA
"1466","Cubelles","no_low_cost",1.469,1.389,1.449,NA,NA,NA
"1467","Cubells","low_cost",1.269,1.269,1.269,NA,NA,NA
"1468","Cubillas de Rueda","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1469","Cubillas de Santa Marta","no_low_cost",1.407,1.407,1.407,NA,NA,NA
"1470","Cubillos del Sil","no_low_cost",1.439,1.429,1.434,NA,NA,NA
"1471","Cubo de Tierra del Vino (El)","low_cost",1.389,1.389,1.389,NA,NA,NA
"1472","Cudillero","low_cost",1.389,1.389,1.389,NA,NA,NA
"1473","Cudillero","no_low_cost",1.389,1.349,1.369,NA,NA,NA
"1474","Cuéllar","low_cost",1.289,1.289,1.289,NA,NA,NA
"1475","Cuéllar","no_low_cost",1.449,1.429,1.439,NA,NA,NA
"1476","Cuenca","low_cost",1.399,1.243,1.2975,NA,NA,NA
"1477","Cuenca","no_low_cost",1.429,1.379,1.40614285714286,NA,NA,NA
"1478","Cuerva","low_cost",1.205,1.205,1.205,NA,NA,NA
"1479","Cuervo de Sevilla (El)","low_cost",1.339,1.182,1.28725,NA,NA,NA
"1480","Cuervo de Sevilla (El)","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1481","Cuevas Bajas","low_cost",1.326,1.326,1.326,NA,NA,NA
"1482","Cuevas de San Marcos","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1483","Cuevas del Almanzora","low_cost",1.329,1.257,1.293,NA,NA,NA
"1484","Cuevas del Almanzora","no_low_cost",1.387,1.359,1.37166666666667,NA,NA,NA
"1485","Cuevas del Becerro","low_cost",1.279,1.279,1.279,NA,NA,NA
"1486","Cuevas del Becerro","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1487","Cuevas del Campo","low_cost",1.26,1.26,1.26,NA,NA,NA
"1488","Cuevas del Campo","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1489","Cúllar","low_cost",1.399,1.269,1.343,NA,NA,NA
"1490","Cúllar","no_low_cost",1.385,1.379,1.382,NA,NA,NA
"1491","Cúllar Vega","low_cost",1.275,1.275,1.275,NA,NA,NA
"1492","Cullera","low_cost",1.329,1.249,1.284,NA,NA,NA
"1493","Cullera","no_low_cost",1.359,1.289,1.333,NA,NA,NA
"1494","Culleredo","low_cost",1.339,1.329,1.334,NA,NA,NA
"1495","Culleredo","no_low_cost",1.429,1.379,1.409,NA,NA,NA
"1496","Cunit","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"1497","Cuntis","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"1498","Curtis","low_cost",1.369,1.369,1.369,NA,NA,NA
"1499","Curtis","no_low_cost",1.385,1.379,1.382,NA,NA,NA
"1500","Cuzcurrita de Río Tirón","low_cost",NA,NA,NA,NA,NA,NA
"1501","Daganzo de Arriba","low_cost",1.339,1.339,1.339,NA,NA,NA
"1502","Daganzo de Arriba","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1503","Daimiel","low_cost",1.389,1.267,1.3026,NA,NA,NA
"1504","Daimiel","no_low_cost",1.399,1.369,1.385,NA,NA,NA
"1505","Daimús","low_cost",1.349,1.349,1.349,NA,NA,NA
"1506","Dalías","low_cost",1.232,1.217,1.2245,NA,NA,NA
"1507","Daroca","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1508","Darro","no_low_cost",1.399,1.399,1.399,1.599,1.599,1.599
"1509","Deba","no_low_cost",1.439,1.379,1.409,NA,NA,NA
"1510","Deifontes","low_cost",1.228,1.228,1.228,NA,NA,NA
"1511","Deifontes","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1512","Deleitosa","low_cost",1.379,1.379,1.379,NA,NA,NA
"1513","Deleitosa","no_low_cost",1.405,1.405,1.405,NA,NA,NA
"1514","Deltebre","low_cost",1.259,1.193,1.242,NA,NA,NA
"1515","Deltebre","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1516","Dénia","low_cost",1.389,1.348,1.37525,NA,NA,NA
"1517","Dénia","no_low_cost",1.419,1.379,1.4015,NA,NA,NA
"1518","Derio","low_cost",1.449,1.449,1.449,NA,NA,NA
"1519","Diezma","no_low_cost",1.389,1.379,1.38566666666667,NA,NA,NA
"1520","Dodro","no_low_cost",1.385,1.379,1.382,NA,NA,NA
"1521","Dólar","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1522","Dolores","low_cost",1.349,1.349,1.349,NA,NA,NA
"1523","Dolores","no_low_cost",1.395,1.379,1.387,NA,NA,NA
"1524","Don Benito","low_cost",NA,NA,NA,NA,NA,NA
"1525","Don Benito","no_low_cost",1.429,1.389,1.40757142857143,NA,NA,NA
"1526","Doña Mencía","low_cost",1.27,1.27,1.27,NA,NA,NA
"1527","Doña Mencía","no_low_cost",1.379,1.379,1.379,1.559,1.559,1.559
"1528","Doneztebe/Santesteban","low_cost",1.349,1.279,1.314,NA,NA,NA
"1529","Doneztebe/Santesteban","no_low_cost",1.409,1.409,1.409,1.589,1.589,1.589
"1530","Donostia-San Sebastián","low_cost",1.449,1.349,1.419,NA,NA,NA
"1531","Donostia-San Sebastián","no_low_cost",1.459,1.399,1.44042857142857,NA,NA,NA
"1532","Dos Hermanas","low_cost",NA,NA,NA,NA,NA,NA
"1533","Dos Hermanas","no_low_cost",NA,NA,NA,NA,NA,NA
"1534","Dosbarrios","low_cost",1.305,1.305,1.305,NA,NA,NA
"1535","Dosbarrios","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1536","Dosrius","low_cost",1.399,1.399,1.399,NA,NA,NA
"1537","Dozón","low_cost",1.389,1.389,1.389,NA,NA,NA
"1538","Dueñas","low_cost",NA,NA,NA,NA,NA,NA
"1539","Dueñas","no_low_cost",1.409,1.399,1.40233333333333,NA,NA,NA
"1540","Dumbría","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1541","Durango","low_cost",1.275,1.275,1.275,NA,NA,NA
"1542","Dúrcal","low_cost",1.368,1.368,1.368,NA,NA,NA
"1543","Dúrcal","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"1544","Écija","low_cost",1.369,1.235,1.321125,NA,NA,NA
"1545","Écija","no_low_cost",1.399,1.369,1.37983333333333,NA,NA,NA
"1546","Egüés","low_cost",1.439,1.24,1.32425,NA,NA,NA
"1547","Egüés","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1548","Eibar","low_cost",1.409,1.409,1.409,NA,NA,NA
"1549","Eivissa","no_low_cost",1.499,1.469,1.494,NA,NA,NA
"1550","Ejea de los Caballeros","low_cost",NA,NA,NA,NA,NA,NA
"1551","Ejea de los Caballeros","no_low_cost",1.359,1.345,1.352,NA,NA,NA
"1552","Ejido (El)","low_cost",1.399,1.199,1.28757575757576,NA,NA,NA
"1553","Ejido (El)","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1554","Elburgo/Burgelu","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"1555","Elche de la Sierra","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"1556","Elche/Elx","low_cost",1.419,1.239,1.349,NA,NA,NA
"1557","Elche/Elx","no_low_cost",1.439,1.319,1.40664705882353,NA,NA,NA
"1558","Elda","low_cost",1.349,1.299,1.3115,NA,NA,NA
"1559","Elda","no_low_cost",1.409,1.33,1.3754,NA,NA,NA
"1560","Elgoibar","low_cost",1.379,1.379,1.379,NA,NA,NA
"1561","Elgoibar","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"1562","Eliana (l')","low_cost",1.379,1.257,1.3086,NA,NA,NA
"1563","Eliana (l')","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1564","Elorrio","low_cost",1.315,1.315,1.315,NA,NA,NA
"1565","Elorrio","no_low_cost",1.435,1.389,1.412,NA,NA,NA
"1566","Encinas de Abajo","low_cost",1.389,1.389,1.389,NA,NA,NA
"1567","Encinas Reales","no_low_cost",1.28,1.28,1.28,NA,NA,NA
"1568","Encinasola","low_cost",1.399,1.399,1.399,NA,NA,NA
"1569","Enguera","low_cost",1.254,1.254,1.254,NA,NA,NA
"1570","Enguera","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1571","Entrambasaguas","no_low_cost",1.439,1.429,1.43233333333333,NA,NA,NA
"1572","Entrimo","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"1573","Entrín Bajo","low_cost",1.27,1.27,1.27,NA,NA,NA
"1574","Épila","low_cost",1.315,1.269,1.292,NA,NA,NA
"1575","Épila","no_low_cost",1.389,1.295,1.342,NA,NA,NA
"1576","Erandio","low_cost",1.459,1.439,1.45233333333333,NA,NA,NA
"1577","Erandio","no_low_cost",1.419,1.369,1.394,NA,NA,NA
"1578","Erla","low_cost",1.359,1.23,1.2945,NA,NA,NA
"1579","Errenteria","low_cost",1.319,1.319,1.319,NA,NA,NA
"1580","Errenteria","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1581","Erro","low_cost",1.379,1.379,1.379,NA,NA,NA
"1582","Escacena del Campo","low_cost",1.247,1.247,1.247,NA,NA,NA
"1583","Escala (L')","low_cost",1.379,1.279,1.324,NA,NA,NA
"1584","Escalante","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1585","Escalona","low_cost",1.347,1.276,1.3115,NA,NA,NA
"1586","Escalona","no_low_cost",1.415,1.415,1.415,1.589,1.589,1.589
"1587","Escalonilla","low_cost",1.317,1.317,1.317,NA,NA,NA
"1588","Escatrón","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"1589","Escorca","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1590","Escorial (El)","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1591","Escurial","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1592","Esguevillas de Esgueva","low_cost",1.299,1.299,1.299,NA,NA,NA
"1593","Eskoriatza","low_cost",1.419,1.419,1.419,NA,NA,NA
"1594","Eskoriatza","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"1595","Esparragalejo","low_cost",1.479,1.479,1.479,NA,NA,NA
"1596","Esparreguera","low_cost",1.439,1.289,1.3665,NA,NA,NA
"1597","Esparreguera","no_low_cost",1.439,1.439,1.439,1.589,1.589,1.589
"1598","Espartinas","no_low_cost",1.389,1.369,1.379,NA,NA,NA
"1599","Espeja","no_low_cost",1.395,1.395,1.395,NA,NA,NA
"1600","Espejo","low_cost",1.3,1.258,1.279,NA,NA,NA
"1601","Espejo","no_low_cost",1.379,1.26,1.3195,NA,NA,NA
"1602","Espera","no_low_cost",1.319,1.319,1.319,NA,NA,NA
"1603","Espiel","low_cost",1.359,1.359,1.359,NA,NA,NA
"1604","Espinar (El)","low_cost",1.309,1.309,1.309,NA,NA,NA
"1605","Espinar (El)","no_low_cost",1.429,1.399,1.419,NA,NA,NA
"1606","Espinosa de Henares","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"1607","Espinosa de los Caballeros","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1608","Espinosa de los Monteros","low_cost",1.409,1.409,1.409,NA,NA,NA
"1609","Espinoso del Rey","low_cost",1.275,1.275,1.275,NA,NA,NA
"1610","Espluga de Francolí (L')","low_cost",1.189,1.189,1.189,NA,NA,NA
"1611","Esplugues de Llobregat","low_cost",1.309,1.228,1.25866666666667,NA,NA,NA
"1612","Esplugues de Llobregat","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"1613","Esplús","low_cost",1.198,1.198,1.198,NA,NA,NA
"1614","Esporles","no_low_cost",1.436,1.436,1.436,NA,NA,NA
"1615","Espot","low_cost",1.389,1.389,1.389,NA,NA,NA
"1616","Esquivias","low_cost",1.299,1.299,1.299,NA,NA,NA
"1617","Esquivias","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"1618","Estadilla","low_cost",1.294,1.294,1.294,NA,NA,NA
"1619","Estadilla","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"1620","Estella/Lizarra","low_cost",1.419,1.29,1.341625,NA,NA,NA
"1621","Estepa","low_cost",1.329,1.309,1.319,NA,NA,NA
"1622","Estepa","no_low_cost",1.409,1.369,1.395,NA,NA,NA
"1623","Estépar","low_cost",1.429,1.299,1.364,NA,NA,NA
"1624","Estepona","low_cost",1.419,1.299,1.3665,NA,NA,NA
"1625","Estepona","no_low_cost",1.419,1.379,1.4065,NA,NA,NA
"1626","Esteribar","low_cost",1.408,1.329,1.375,NA,NA,NA
"1627","Esterri d'Àneu","no_low_cost",1.377,1.377,1.377,NA,NA,NA
"1628","Estivella","low_cost",1.109,1.109,1.109,NA,NA,NA
"1629","Estopiñán del Castillo","no_low_cost",1.358,1.358,1.358,NA,NA,NA
"1630","Estrada (A)","low_cost",1.388,1.319,1.3535,NA,NA,NA
"1631","Estrada (A)","no_low_cost",1.409,1.399,1.40233333333333,NA,NA,NA
"1632","Estremera","low_cost",1.399,1.399,1.399,NA,NA,NA
"1633","Etxalar","low_cost",1.309,1.309,1.309,NA,NA,NA
"1634","Etxarri-Aranatz","low_cost",1.299,1.299,1.299,NA,NA,NA
"1635","Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko","no_low_cost",1.439,1.439,1.439,1.609,1.609,1.609
"1636","Ezcabarte","low_cost",1.289,1.289,1.289,NA,NA,NA
"1637","Fabara","low_cost",1.249,1.249,1.249,NA,NA,NA
"1638","Fabero","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1639","Falces","low_cost",NA,NA,NA,NA,NA,NA
"1640","Falset","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"1641","Farlete","low_cost",1.275,1.275,1.275,NA,NA,NA
"1642","Fasnia","low_cost",1.094,1.094,1.094,NA,NA,NA
"1643","Fasnia","no_low_cost",1.099,1.094,1.0965,NA,NA,NA
"1644","Fatarella (La)","low_cost",1.409,1.409,1.409,NA,NA,NA
"1645","Fayón","low_cost",1.398,1.398,1.398,NA,NA,NA
"1646","Felanitx","low_cost",1.419,1.319,1.38566666666667,NA,NA,NA
"1647","Felanitx","no_low_cost",1.458,1.419,1.43533333333333,NA,NA,NA
"1648","Fene","low_cost",NA,NA,NA,NA,NA,NA
"1649","Fene","no_low_cost",1.429,1.429,1.429,1.589,1.589,1.589
"1650","Fermoselle","no_low_cost",1.35,1.35,1.35,1.569,1.569,1.569
"1651","Fernán-Núñez","low_cost",1.289,1.23,1.249,NA,NA,NA
"1652","Fernán-Núñez","no_low_cost",1.389,1.389,1.389,NA,NA,NA
